onset1	nucleus1	coda1	shape1	onset2	nucleus2	coda2	shape2	shape	syllable.contact.code	transcription
p	iː	m	CVC	b	ʊ	k	CVC	CVC.CVC	+NPA	piːmbʊk
p	iː	m	CVC	b	ʊ	s	CVC	CVC.CVC	+NPA	piːmbʊs
p	iː	m	CVC	b	ɛ	n	CVC	CVC.CVC	+NPA	piːmbɛn
p	iː	m	CVC	b	ɛ	ŋ	CVC	CVC.CVC	+NPA	piːmbɛŋ
p	iː	m	CVC	b	ɛ	p	CVC	CVC.CVC	+NPA	piːmbɛp
p	iː	m	CVC	b	ɛ	t	CVC	CVC.CVC	+NPA	piːmbɛt
p	iː	m	CVC	b	ɛ	k	CVC	CVC.CVC	+NPA	piːmbɛk
p	iː	m	CVC	b	ɛ	s	CVC	CVC.CVC	+NPA	piːmbɛs
p	iː	m	CVC	b	æ	n	CVC	CVC.CVC	+NPA	piːmbæn
p	iː	m	CVC	b	æ	ŋ	CVC	CVC.CVC	+NPA	piːmbæŋ
p	iː	m	CVC	b	æ	p	CVC	CVC.CVC	+NPA	piːmbæp
p	iː	m	CVC	b	æ	t	CVC	CVC.CVC	+NPA	piːmbæt
p	iː	m	CVC	b	æ	k	CVC	CVC.CVC	+NPA	piːmbæk
p	iː	m	CVC	b	æ	s	CVC	CVC.CVC	+NPA	piːmbæs
p	iː	m	CVC	d	ɪ	n	CVC	CVC.CVC	-NPA	piːmdɪn
p	iː	m	CVC	d	ɪ	ŋ	CVC	CVC.CVC	-NPA	piːmdɪŋ
p	iː	m	CVC	d	ɪ	p	CVC	CVC.CVC	-NPA	piːmdɪp
p	iː	m	CVC	d	ɪ	t	CVC	CVC.CVC	-NPA	piːmdɪt
p	iː	m	CVC	d	ɪ	k	CVC	CVC.CVC	-NPA	piːmdɪk
p	iː	m	CVC	d	ɪ	s	CVC	CVC.CVC	-NPA	piːmdɪs
p	iː	m	CVC	d	ʊ	n	CVC	CVC.CVC	-NPA	piːmdʊn
p	iː	m	CVC	d	ʊ	ŋ	CVC	CVC.CVC	-NPA	piːmdʊŋ
p	iː	m	CVC	d	ʊ	p	CVC	CVC.CVC	-NPA	piːmdʊp
p	iː	m	CVC	d	ʊ	t	CVC	CVC.CVC	-NPA	piːmdʊt
p	iː	m	CVC	d	ʊ	k	CVC	CVC.CVC	-NPA	piːmdʊk
p	iː	m	CVC	d	ʊ	s	CVC	CVC.CVC	-NPA	piːmdʊs
p	iː	m	CVC	d	ɛ	n	CVC	CVC.CVC	-NPA	piːmdɛn
p	iː	m	CVC	d	ɛ	ŋ	CVC	CVC.CVC	-NPA	piːmdɛŋ
p	iː	m	CVC	d	ɛ	p	CVC	CVC.CVC	-NPA	piːmdɛp
p	iː	m	CVC	d	ɛ	t	CVC	CVC.CVC	-NPA	piːmdɛt
p	iː	m	CVC	d	ɛ	k	CVC	CVC.CVC	-NPA	piːmdɛk
p	iː	m	CVC	d	ɛ	s	CVC	CVC.CVC	-NPA	piːmdɛs
p	iː	m	CVC	d	æ	n	CVC	CVC.CVC	-NPA	piːmdæn
p	iː	m	CVC	d	æ	ŋ	CVC	CVC.CVC	-NPA	piːmdæŋ
p	iː	m	CVC	d	æ	p	CVC	CVC.CVC	-NPA	piːmdæp
p	iː	m	CVC	d	æ	t	CVC	CVC.CVC	-NPA	piːmdæt
p	iː	m	CVC	d	æ	k	CVC	CVC.CVC	-NPA	piːmdæk
p	iː	m	CVC	d	æ	s	CVC	CVC.CVC	-NPA	piːmdæs
p	iː	m	CVC	g	ɪ	n	CVC	CVC.CVC	-NPA	piːmgɪn
p	iː	m	CVC	g	ɪ	ŋ	CVC	CVC.CVC	-NPA	piːmgɪŋ
p	iː	m	CVC	g	ɪ	p	CVC	CVC.CVC	-NPA	piːmgɪp
p	iː	m	CVC	g	ɪ	t	CVC	CVC.CVC	-NPA	piːmgɪt
p	iː	m	CVC	g	ɪ	k	CVC	CVC.CVC	-NPA	piːmgɪk
p	iː	m	CVC	g	ɪ	s	CVC	CVC.CVC	-NPA	piːmgɪs
p	iː	m	CVC	g	ʊ	n	CVC	CVC.CVC	-NPA	piːmgʊn
p	iː	m	CVC	g	ʊ	ŋ	CVC	CVC.CVC	-NPA	piːmgʊŋ
p	iː	m	CVC	g	ʊ	p	CVC	CVC.CVC	-NPA	piːmgʊp
p	iː	m	CVC	g	ʊ	t	CVC	CVC.CVC	-NPA	piːmgʊt
p	iː	m	CVC	g	ʊ	k	CVC	CVC.CVC	-NPA	piːmgʊk
p	iː	m	CVC	g	ʊ	s	CVC	CVC.CVC	-NPA	piːmgʊs
p	iː	m	CVC	g	ɛ	n	CVC	CVC.CVC	-NPA	piːmgɛn
p	iː	m	CVC	g	ɛ	ŋ	CVC	CVC.CVC	-NPA	piːmgɛŋ
p	iː	m	CVC	g	ɛ	p	CVC	CVC.CVC	-NPA	piːmgɛp
p	iː	m	CVC	g	ɛ	t	CVC	CVC.CVC	-NPA	piːmgɛt
p	iː	m	CVC	g	ɛ	k	CVC	CVC.CVC	-NPA	piːmgɛk
p	iː	m	CVC	g	ɛ	s	CVC	CVC.CVC	-NPA	piːmgɛs
p	iː	m	CVC	g	æ	n	CVC	CVC.CVC	-NPA	piːmgæn
p	iː	m	CVC	g	æ	ŋ	CVC	CVC.CVC	-NPA	piːmgæŋ
p	iː	m	CVC	g	æ	p	CVC	CVC.CVC	-NPA	piːmgæp
p	iː	m	CVC	g	æ	t	CVC	CVC.CVC	-NPA	piːmgæt
p	iː	m	CVC	g	æ	k	CVC	CVC.CVC	-NPA	piːmgæk
p	iː	m	CVC	g	æ	s	CVC	CVC.CVC	-NPA	piːmgæs
p	iː	m	CVC	s	ɪ	n	CVC	CVC.CVC	-NPA	piːmsɪn
p	iː	m	CVC	s	ɪ	ŋ	CVC	CVC.CVC	-NPA	piːmsɪŋ
p	iː	m	CVC	s	ɪ	p	CVC	CVC.CVC	-NPA	piːmsɪp
p	iː	m	CVC	s	ɪ	t	CVC	CVC.CVC	-NPA	piːmsɪt
p	iː	m	CVC	s	ɪ	k	CVC	CVC.CVC	-NPA	piːmsɪk
p	iː	m	CVC	s	ɪ	s	CVC	CVC.CVC	-NPA	piːmsɪs
p	iː	m	CVC	s	ʊ	n	CVC	CVC.CVC	-NPA	piːmsʊn
p	iː	m	CVC	s	ʊ	ŋ	CVC	CVC.CVC	-NPA	piːmsʊŋ
p	iː	m	CVC	s	ʊ	p	CVC	CVC.CVC	-NPA	piːmsʊp
p	iː	m	CVC	s	ʊ	t	CVC	CVC.CVC	-NPA	piːmsʊt
p	iː	m	CVC	s	ʊ	k	CVC	CVC.CVC	-NPA	piːmsʊk
p	iː	m	CVC	s	ʊ	s	CVC	CVC.CVC	-NPA	piːmsʊs
p	iː	m	CVC	s	ɛ	n	CVC	CVC.CVC	-NPA	piːmsɛn
p	iː	m	CVC	s	ɛ	ŋ	CVC	CVC.CVC	-NPA	piːmsɛŋ
p	iː	m	CVC	s	ɛ	p	CVC	CVC.CVC	-NPA	piːmsɛp
p	iː	m	CVC	s	ɛ	t	CVC	CVC.CVC	-NPA	piːmsɛt
p	iː	m	CVC	s	ɛ	k	CVC	CVC.CVC	-NPA	piːmsɛk
p	iː	m	CVC	s	ɛ	s	CVC	CVC.CVC	-NPA	piːmsɛs
p	iː	m	CVC	s	æ	n	CVC	CVC.CVC	-NPA	piːmsæn
p	iː	m	CVC	s	æ	ŋ	CVC	CVC.CVC	-NPA	piːmsæŋ
p	iː	m	CVC	s	æ	p	CVC	CVC.CVC	-NPA	piːmsæp
p	iː	m	CVC	s	æ	t	CVC	CVC.CVC	-NPA	piːmsæt
p	iː	m	CVC	s	æ	k	CVC	CVC.CVC	-NPA	piːmsæk
p	iː	m	CVC	s	æ	s	CVC	CVC.CVC	-NPA	piːmsæs
p	iː	n	CVC	t	ɪ	m	CVC	CVC.CVC	+NPA	piːntɪm
p	iː	n	CVC	t	ɪ	ŋ	CVC	CVC.CVC	+NPA	piːntɪŋ
p	iː	n	CVC	t	ɪ	p	CVC	CVC.CVC	+NPA	piːntɪp
p	iː	n	CVC	t	ɪ	t	CVC	CVC.CVC	+NPA	piːntɪt
p	iː	n	CVC	t	ɪ	k	CVC	CVC.CVC	+NPA	piːntɪk
p	iː	n	CVC	t	ɪ	s	CVC	CVC.CVC	+NPA	piːntɪs
p	iː	n	CVC	t	ʊ	m	CVC	CVC.CVC	+NPA	piːntʊm
p	iː	n	CVC	t	ʊ	ŋ	CVC	CVC.CVC	+NPA	piːntʊŋ
p	iː	n	CVC	t	ʊ	p	CVC	CVC.CVC	+NPA	piːntʊp
p	iː	n	CVC	t	ʊ	t	CVC	CVC.CVC	+NPA	piːntʊt
p	iː	n	CVC	t	ʊ	k	CVC	CVC.CVC	+NPA	piːntʊk
p	iː	n	CVC	t	ʊ	s	CVC	CVC.CVC	+NPA	piːntʊs
p	iː	n	CVC	t	ɛ	m	CVC	CVC.CVC	+NPA	piːntɛm
p	iː	n	CVC	t	ɛ	ŋ	CVC	CVC.CVC	+NPA	piːntɛŋ
p	iː	n	CVC	t	ɛ	p	CVC	CVC.CVC	+NPA	piːntɛp
p	iː	n	CVC	t	ɛ	t	CVC	CVC.CVC	+NPA	piːntɛt
p	iː	n	CVC	t	ɛ	k	CVC	CVC.CVC	+NPA	piːntɛk
p	iː	n	CVC	t	ɛ	s	CVC	CVC.CVC	+NPA	piːntɛs
p	iː	n	CVC	t	æ	m	CVC	CVC.CVC	+NPA	piːntæm
p	iː	n	CVC	t	æ	ŋ	CVC	CVC.CVC	+NPA	piːntæŋ
p	iː	n	CVC	t	æ	p	CVC	CVC.CVC	+NPA	piːntæp
p	iː	n	CVC	t	æ	t	CVC	CVC.CVC	+NPA	piːntæt
p	iː	n	CVC	t	æ	k	CVC	CVC.CVC	+NPA	piːntæk
p	iː	n	CVC	t	æ	s	CVC	CVC.CVC	+NPA	piːntæs
p	iː	n	CVC	k	ɪ	m	CVC	CVC.CVC	-NPA	piːnkɪm
p	iː	n	CVC	k	ɪ	ŋ	CVC	CVC.CVC	-NPA	piːnkɪŋ
p	iː	n	CVC	k	ɪ	p	CVC	CVC.CVC	-NPA	piːnkɪp
p	iː	n	CVC	k	ɪ	t	CVC	CVC.CVC	-NPA	piːnkɪt
p	iː	n	CVC	k	ɪ	k	CVC	CVC.CVC	-NPA	piːnkɪk
p	iː	n	CVC	k	ɪ	s	CVC	CVC.CVC	-NPA	piːnkɪs
p	iː	n	CVC	k	ʊ	m	CVC	CVC.CVC	-NPA	piːnkʊm
p	iː	n	CVC	k	ʊ	ŋ	CVC	CVC.CVC	-NPA	piːnkʊŋ
p	iː	n	CVC	k	ʊ	p	CVC	CVC.CVC	-NPA	piːnkʊp
p	iː	n	CVC	k	ʊ	t	CVC	CVC.CVC	-NPA	piːnkʊt
p	iː	n	CVC	k	ʊ	k	CVC	CVC.CVC	-NPA	piːnkʊk
p	iː	n	CVC	k	ʊ	s	CVC	CVC.CVC	-NPA	piːnkʊs
p	iː	n	CVC	k	ɛ	m	CVC	CVC.CVC	-NPA	piːnkɛm
p	iː	n	CVC	k	ɛ	ŋ	CVC	CVC.CVC	-NPA	piːnkɛŋ
p	iː	n	CVC	k	ɛ	p	CVC	CVC.CVC	-NPA	piːnkɛp
p	iː	n	CVC	k	ɛ	t	CVC	CVC.CVC	-NPA	piːnkɛt
p	iː	n	CVC	k	ɛ	k	CVC	CVC.CVC	-NPA	piːnkɛk
p	iː	n	CVC	k	ɛ	s	CVC	CVC.CVC	-NPA	piːnkɛs
p	iː	n	CVC	k	æ	m	CVC	CVC.CVC	-NPA	piːnkæm
p	iː	n	CVC	k	æ	ŋ	CVC	CVC.CVC	-NPA	piːnkæŋ
p	iː	n	CVC	k	æ	p	CVC	CVC.CVC	-NPA	piːnkæp
p	iː	n	CVC	k	æ	t	CVC	CVC.CVC	-NPA	piːnkæt
p	iː	n	CVC	k	æ	k	CVC	CVC.CVC	-NPA	piːnkæk
p	iː	n	CVC	k	æ	s	CVC	CVC.CVC	-NPA	piːnkæs
p	iː	n	CVC	b	ɪ	m	CVC	CVC.CVC	-NPA	piːnbɪm
p	iː	n	CVC	b	ɪ	ŋ	CVC	CVC.CVC	-NPA	piːnbɪŋ
p	iː	n	CVC	b	ɪ	p	CVC	CVC.CVC	-NPA	piːnbɪp
p	iː	n	CVC	b	ɪ	t	CVC	CVC.CVC	-NPA	piːnbɪt
p	iː	n	CVC	b	ɪ	k	CVC	CVC.CVC	-NPA	piːnbɪk
p	iː	n	CVC	b	ɪ	s	CVC	CVC.CVC	-NPA	piːnbɪs
p	iː	n	CVC	b	ʊ	m	CVC	CVC.CVC	-NPA	piːnbʊm
p	iː	n	CVC	b	ʊ	ŋ	CVC	CVC.CVC	-NPA	piːnbʊŋ
p	iː	n	CVC	b	ʊ	p	CVC	CVC.CVC	-NPA	piːnbʊp
p	iː	n	CVC	b	ʊ	t	CVC	CVC.CVC	-NPA	piːnbʊt
p	iː	n	CVC	b	ʊ	k	CVC	CVC.CVC	-NPA	piːnbʊk
p	iː	n	CVC	b	ʊ	s	CVC	CVC.CVC	-NPA	piːnbʊs
p	iː	n	CVC	b	ɛ	m	CVC	CVC.CVC	-NPA	piːnbɛm
p	iː	n	CVC	b	ɛ	ŋ	CVC	CVC.CVC	-NPA	piːnbɛŋ
p	iː	n	CVC	b	ɛ	p	CVC	CVC.CVC	-NPA	piːnbɛp
p	iː	n	CVC	b	ɛ	t	CVC	CVC.CVC	-NPA	piːnbɛt
p	iː	n	CVC	b	ɛ	k	CVC	CVC.CVC	-NPA	piːnbɛk
p	iː	n	CVC	b	ɛ	s	CVC	CVC.CVC	-NPA	piːnbɛs
p	iː	n	CVC	b	æ	m	CVC	CVC.CVC	-NPA	piːnbæm
p	iː	n	CVC	b	æ	ŋ	CVC	CVC.CVC	-NPA	piːnbæŋ
p	iː	n	CVC	b	æ	p	CVC	CVC.CVC	-NPA	piːnbæp
p	iː	n	CVC	b	æ	t	CVC	CVC.CVC	-NPA	piːnbæt
p	iː	n	CVC	b	æ	k	CVC	CVC.CVC	-NPA	piːnbæk
p	iː	n	CVC	b	æ	s	CVC	CVC.CVC	-NPA	piːnbæs
p	iː	n	CVC	d	ɪ	m	CVC	CVC.CVC	+NPA	piːndɪm
p	iː	n	CVC	d	ɪ	ŋ	CVC	CVC.CVC	+NPA	piːndɪŋ
p	iː	n	CVC	d	ɪ	p	CVC	CVC.CVC	+NPA	piːndɪp
p	iː	n	CVC	d	ɪ	t	CVC	CVC.CVC	+NPA	piːndɪt
p	iː	n	CVC	d	ɪ	k	CVC	CVC.CVC	+NPA	piːndɪk
p	iː	n	CVC	d	ɪ	s	CVC	CVC.CVC	+NPA	piːndɪs
p	iː	n	CVC	d	ʊ	m	CVC	CVC.CVC	+NPA	piːndʊm
p	iː	n	CVC	d	ʊ	ŋ	CVC	CVC.CVC	+NPA	piːndʊŋ
p	iː	n	CVC	d	ʊ	p	CVC	CVC.CVC	+NPA	piːndʊp
p	iː	n	CVC	d	ʊ	t	CVC	CVC.CVC	+NPA	piːndʊt
p	iː	n	CVC	d	ʊ	k	CVC	CVC.CVC	+NPA	piːndʊk
p	iː	n	CVC	d	ʊ	s	CVC	CVC.CVC	+NPA	piːndʊs
p	iː	n	CVC	d	ɛ	m	CVC	CVC.CVC	+NPA	piːndɛm
p	iː	n	CVC	d	ɛ	ŋ	CVC	CVC.CVC	+NPA	piːndɛŋ
p	iː	n	CVC	d	ɛ	p	CVC	CVC.CVC	+NPA	piːndɛp
p	iː	n	CVC	d	ɛ	t	CVC	CVC.CVC	+NPA	piːndɛt
p	iː	n	CVC	d	ɛ	k	CVC	CVC.CVC	+NPA	piːndɛk
p	iː	n	CVC	d	ɛ	s	CVC	CVC.CVC	+NPA	piːndɛs
p	iː	n	CVC	d	æ	m	CVC	CVC.CVC	+NPA	piːndæm
p	iː	n	CVC	d	æ	ŋ	CVC	CVC.CVC	+NPA	piːndæŋ
p	iː	n	CVC	d	æ	p	CVC	CVC.CVC	+NPA	piːndæp
p	iː	n	CVC	d	æ	t	CVC	CVC.CVC	+NPA	piːndæt
p	iː	n	CVC	d	æ	k	CVC	CVC.CVC	+NPA	piːndæk
p	iː	n	CVC	d	æ	s	CVC	CVC.CVC	+NPA	piːndæs
p	iː	n	CVC	g	ɪ	m	CVC	CVC.CVC	-NPA	piːngɪm
p	iː	n	CVC	g	ɪ	ŋ	CVC	CVC.CVC	-NPA	piːngɪŋ
p	iː	n	CVC	g	ɪ	p	CVC	CVC.CVC	-NPA	piːngɪp
p	iː	n	CVC	g	ɪ	t	CVC	CVC.CVC	-NPA	piːngɪt
p	iː	n	CVC	g	ɪ	k	CVC	CVC.CVC	-NPA	piːngɪk
p	iː	n	CVC	g	ɪ	s	CVC	CVC.CVC	-NPA	piːngɪs
p	iː	n	CVC	g	ʊ	m	CVC	CVC.CVC	-NPA	piːngʊm
p	iː	n	CVC	g	ʊ	ŋ	CVC	CVC.CVC	-NPA	piːngʊŋ
p	iː	n	CVC	g	ʊ	p	CVC	CVC.CVC	-NPA	piːngʊp
p	iː	n	CVC	g	ʊ	t	CVC	CVC.CVC	-NPA	piːngʊt
p	iː	n	CVC	g	ʊ	k	CVC	CVC.CVC	-NPA	piːngʊk
p	iː	n	CVC	g	ʊ	s	CVC	CVC.CVC	-NPA	piːngʊs
p	iː	n	CVC	g	ɛ	m	CVC	CVC.CVC	-NPA	piːngɛm
p	iː	n	CVC	g	ɛ	ŋ	CVC	CVC.CVC	-NPA	piːngɛŋ
p	iː	n	CVC	g	ɛ	p	CVC	CVC.CVC	-NPA	piːngɛp
p	iː	n	CVC	g	ɛ	t	CVC	CVC.CVC	-NPA	piːngɛt
p	iː	n	CVC	g	ɛ	k	CVC	CVC.CVC	-NPA	piːngɛk
p	iː	n	CVC	g	ɛ	s	CVC	CVC.CVC	-NPA	piːngɛs
p	iː	n	CVC	g	æ	m	CVC	CVC.CVC	-NPA	piːngæm
p	iː	n	CVC	g	æ	ŋ	CVC	CVC.CVC	-NPA	piːngæŋ
p	iː	n	CVC	g	æ	p	CVC	CVC.CVC	-NPA	piːngæp
p	iː	n	CVC	g	æ	t	CVC	CVC.CVC	-NPA	piːngæt
p	iː	n	CVC	g	æ	k	CVC	CVC.CVC	-NPA	piːngæk
p	iː	n	CVC	g	æ	s	CVC	CVC.CVC	-NPA	piːngæs
p	iː	n	CVC	s	ɪ	m	CVC	CVC.CVC	+NPA	piːnsɪm
p	iː	n	CVC	s	ɪ	ŋ	CVC	CVC.CVC	+NPA	piːnsɪŋ
p	iː	n	CVC	s	ɪ	p	CVC	CVC.CVC	+NPA	piːnsɪp
p	iː	n	CVC	s	ɪ	t	CVC	CVC.CVC	+NPA	piːnsɪt
p	iː	n	CVC	s	ɪ	k	CVC	CVC.CVC	+NPA	piːnsɪk
p	iː	n	CVC	s	ɪ	s	CVC	CVC.CVC	+NPA	piːnsɪs
p	iː	n	CVC	s	ʊ	m	CVC	CVC.CVC	+NPA	piːnsʊm
p	iː	n	CVC	s	ʊ	ŋ	CVC	CVC.CVC	+NPA	piːnsʊŋ
p	iː	n	CVC	s	ʊ	p	CVC	CVC.CVC	+NPA	piːnsʊp
p	iː	n	CVC	s	ʊ	t	CVC	CVC.CVC	+NPA	piːnsʊt
p	iː	n	CVC	s	ʊ	k	CVC	CVC.CVC	+NPA	piːnsʊk
p	iː	n	CVC	s	ʊ	s	CVC	CVC.CVC	+NPA	piːnsʊs
p	iː	n	CVC	s	ɛ	m	CVC	CVC.CVC	+NPA	piːnsɛm
p	iː	n	CVC	s	ɛ	ŋ	CVC	CVC.CVC	+NPA	piːnsɛŋ
p	iː	n	CVC	s	ɛ	p	CVC	CVC.CVC	+NPA	piːnsɛp
p	iː	n	CVC	s	ɛ	t	CVC	CVC.CVC	+NPA	piːnsɛt
p	iː	n	CVC	s	ɛ	k	CVC	CVC.CVC	+NPA	piːnsɛk
p	iː	n	CVC	s	ɛ	s	CVC	CVC.CVC	+NPA	piːnsɛs
p	iː	n	CVC	s	æ	m	CVC	CVC.CVC	+NPA	piːnsæm
p	iː	n	CVC	s	æ	ŋ	CVC	CVC.CVC	+NPA	piːnsæŋ
p	iː	n	CVC	s	æ	p	CVC	CVC.CVC	+NPA	piːnsæp
p	iː	n	CVC	s	æ	t	CVC	CVC.CVC	+NPA	piːnsæt
p	iː	n	CVC	s	æ	k	CVC	CVC.CVC	+NPA	piːnsæk
p	iː	n	CVC	s	æ	s	CVC	CVC.CVC	+NPA	piːnsæs
p	iː	ŋ	CVC	t	ɪ	m	CVC	CVC.CVC	-NPA	piːŋtɪm
p	iː	ŋ	CVC	t	ɪ	n	CVC	CVC.CVC	-NPA	piːŋtɪn
p	iː	ŋ	CVC	t	ɪ	p	CVC	CVC.CVC	-NPA	piːŋtɪp
p	iː	ŋ	CVC	t	ɪ	t	CVC	CVC.CVC	-NPA	piːŋtɪt
p	iː	ŋ	CVC	t	ɪ	k	CVC	CVC.CVC	-NPA	piːŋtɪk
p	iː	ŋ	CVC	t	ɪ	s	CVC	CVC.CVC	-NPA	piːŋtɪs
p	iː	ŋ	CVC	t	ʊ	m	CVC	CVC.CVC	-NPA	piːŋtʊm
p	iː	ŋ	CVC	t	ʊ	n	CVC	CVC.CVC	-NPA	piːŋtʊn
p	iː	ŋ	CVC	t	ʊ	p	CVC	CVC.CVC	-NPA	piːŋtʊp
p	iː	ŋ	CVC	t	ʊ	t	CVC	CVC.CVC	-NPA	piːŋtʊt
p	iː	ŋ	CVC	t	ʊ	k	CVC	CVC.CVC	-NPA	piːŋtʊk
p	iː	ŋ	CVC	t	ʊ	s	CVC	CVC.CVC	-NPA	piːŋtʊs
p	iː	ŋ	CVC	t	ɛ	m	CVC	CVC.CVC	-NPA	piːŋtɛm
p	iː	ŋ	CVC	t	ɛ	n	CVC	CVC.CVC	-NPA	piːŋtɛn
p	iː	ŋ	CVC	t	ɛ	p	CVC	CVC.CVC	-NPA	piːŋtɛp
p	iː	ŋ	CVC	t	ɛ	t	CVC	CVC.CVC	-NPA	piːŋtɛt
p	iː	ŋ	CVC	t	ɛ	k	CVC	CVC.CVC	-NPA	piːŋtɛk
p	iː	ŋ	CVC	t	ɛ	s	CVC	CVC.CVC	-NPA	piːŋtɛs
p	iː	ŋ	CVC	t	æ	m	CVC	CVC.CVC	-NPA	piːŋtæm
p	iː	ŋ	CVC	t	æ	n	CVC	CVC.CVC	-NPA	piːŋtæn
